API,Maintenance codename,URL,Intention,Bundled?,Last sync/review date,Version,Unit test?,Health check?,Notes
Authorize.net,gateway_authorize,https://developer.authorize.net/,No action,Yes,N/A,Unknown,N/A,N/A,Deprecated API. No sponsor so no action.
Bing Geocoding,geocoding_bing,https://docs.microsoft.com/en-us/bingmaps/rest-services/locations/,Maintain,Yes,Apr 10th 2020,1,__api_geocoding,Geocoding,
Bing Translator,bing_translator,https://azure.microsoft.com/en-us/services/cognitive-services/translator-text-api/,Maintain,Yes,Apr 10th 2020,3,__api_translation,Translation,
CCBill,gateway_ccbill,https://ccbill.com/cs/MG.php,Maintain,Yes,Apr 10th 2020,N/A,N/A,N/A,
Clickatell,sms,https://www.clickatell.com/products/sms-api/,No action,Yes,N/A,N/A,N/A,N/A,"The XML API is deprecated, we should switch to the REST API. No sponsor so no action."
Confluence,confluence,https://developer.atlassian.com/server/confluence/confluence-server-rest-api/,Maintain,No,Apr 11th 2020,N/A,_api_confluence,Confluence,
currencyconverterapi.com,currency,https://free.currencyconverterapi.com/,Maintain,Yes,Apr 10th 2020,7,_api_currency,Currency conversions,
GCM,composr_mobile_sdk_notifications,https://firebase.google.com/docs/cloud-messaging/,No action,No,N/A,N/A,N/A,N/A,"Broken, needs migrating to Firebase Cloud Messaging. No sponsor so no action."
Google Analytics Embed,google_analytics,https://developers.google.com/analytics/,Maintain,Yes,Apr 10th 2020,1,N/A,N/A,
Google Geocoding,geocoding_google,https://developers.google.com/maps/documentation/geocoding/intro,Maintain,Yes,Apr 10th 2020,N/A,__api_geocoding,Geocoding,
Google Maps Embed,google_maps,https://developers.google.com/maps/documentation/embed/guide,Maintain,No,N/A,1,N/A,N/A,
Google ReCAPTCHA,google_recaptcha,https://developers.google.com/recaptcha/intro,Maintain,Yes,Apr 10th 2020,2,N/A,N/A,"The v3 API has issues, and is a paradigm-shift (https://stackoverflow.com/questions/51171349/how-does-googles-recaptcha-v3-work); we will stay off it for now at least"
Google Safe Browsing,google_safe_browsing_api,https://developers.google.com/safe-browsing/,Maintain,Yes,Apr 10th 2020,4,__api_google_safe_browsing,Malware,
Google Translate,google_translate,https://cloud.google.com/translate/docs/,Maintain,No,Apr 10th 2020,2,__api_translation,Translation,
IP Stack,ipstack,https://ipstack.com/documentation,Maintain,Yes,Apr 10th 2020,N/A,__api_ipstack,ipstack,
MapQuest,geocoding_mapquest,https://developer.mapquest.com/documentation/geocoding-api/,Maintain,Yes,Apr 10th 2020,1,__api_geocoding,Geocoding,
Moz Links,moz,https://moz.com/help/links-api,Maintain,Yes,Apr 14th 2020,2,__api_moz,Moz Links,
OpenWeatherMap,openweathermap,https://openweathermap.org/api/hourly-forecast,Maintain,No,Apr 10th 2020,2.5,__api_weather,Weather,
PayPal,gateway_paypal,https://developer.paypal.com/docs/classic/paypal-payments-standard/integration-guide/formbasics/,Maintain,Yes,Apr 10th 2020,N/A,N/A,N/A,
Postmark spamcheck,newsletter_spam_check,https://spamcheck.postmarkapp.com/doc/,Maintain,Yes,Apr 10th 2020,N/A,newsletters,N/A,
Shippo,shippo,https://goshippo.com/api-overview/,Maintain,Yes,Apr 14th 2020,2018-02-08,ecommerce_shipping,Shippo
StopForumSpam,stop_forum_spam,https://www.stopforumspam.com/usage,Maintain,Yes,Apr 10th 2020,1.6,antispam,N/A,
TaxCloud,taxcloud,https://dev.taxcloud.com/,Maintain,Yes,Apr 10th 2020,1,__api_ecommerce_tax,Tax Services,Unit test is limited as you need to have a registered business ID to even test against TaxCloud.
TaxJar,taxjar,https://developers.taxjar.com/,Maintain,Yes,Oct 24th 2022,1,__api_ecommerce_tax,Tax Services,Unit test is limited as you need to have an API Key to even test against TaxJar.
Tornevall,tornevall,https://www.tornevall.net/,Maintain,Yes,Apr 10th 2020,3,antispam,N/A,
Transifex,transifex,https://docs.transifex.com/api/introduction,Maintain,No,Apr 10th 2020,2,__api_transifex,N/A,
Vimeo thumbnail detection,vimeo,,Maintain,Yes,Apr 11th 2020,N/A,media,N/A,
YouTube thumbnail detection,youtube,,Maintain,Yes,Apr 11th 2020,N/A,media,N/A,
W3C HTML validator,,https://validator.w3.org/,Maintain,Yes,Mar 6th 2021,N/A,N/A,N/A,
W3C CSS validator,,https://validator.w3.org/,Maintain,Yes,Mar 6th 2021,N/A,N/A,N/A,
Gravatar,,https://gravatar.com/,Maintain,Yes,Mar 15th 2021,N/A,gravatars,N/A,
